source_path,exists,size_bytes
new_pipeline/data/output/experiments/scheduling_pv_focus_lowpv_safe_da_mpc/annual_cost_summary_realized_basis.csv,True,1333
new_pipeline/data/output/experiments/scheduling_pv_focus_ccor_v2_full_year_m150/annual_cost_summary_realized_basis.csv,True,816
new_pipeline/data/output/experiments/final_four_load_bias_robustness_pvfocus/annual_cost_summary_realized_basis.csv,True,2526
new_pipeline/data/output/experiments/tailaware_ablation_pvfocus_km_vs_tkm/annual_cost_summary_realized_basis.csv,True,712
new_pipeline/data/output/experiments/tailaware_ablation_pvfocus_km_vs_tkm/km_vs_tkm_delta_comparison.csv,True,766
new_pipeline/data/output/experiments/cwa_ghi_pv_truth_rebuild/cwa_pv_truth_summary.csv,True,416
new_pipeline/data/output/experiments/cwa_ghi_pv_truth_rebuild/full_year_replay_truth_package_CWA_GHI_PV.parquet,True,109789
new_pipeline/data/output/experiments/pv_focused_structured_load_bias_bridge/id_h24_pvfocus_base_tkm_lowpv_safe_K5_scenarios.parquet,True,36026041
new_pipeline/data/output/experiments/pv_focused_structured_load_bias_bridge/PV_FOCUSED_VALIDATION_REFRAMED_LOW_PV_FIX_REPORT.md,True,16525
new_pipeline/data/output/experiments/id_h24_ghi_prob/id_h24_ghi_prob_metrics.csv,True,8382
new_pipeline/data/output/experiments/id_h24_ghi_prob/id_h24_pv_prob_metrics.csv,True,1560
new_pipeline/data/output/experiments/main_forecasting_model_comparison/main_model_comparison.csv,True,720
new_pipeline/data/output/experiments/lit_guided_id_h24_ghi/literature_guided_id_h24_ghi_model_comparison.csv,True,6616
new_pipeline/data/output/experiments/figures/table1_agaci_metrics.csv,True,230
