Method Component,Thesis Description,Script / Artifact Evidence,Status,Notes
Corrected CWA-GHI PV truth used,Replay/KPI settlement uses CWA-GHI-derived PV truth.,"pv_focus_bridge_utils.py:23, run_scheduling_pv_focus_da_mpc.py:254-271, run_scheduling_pv_focus_ccor_v2_full_year_m150.py: truth audit output",MATCH,new_pipeline/data/output/experiments/cwa_ghi_pv_truth_rebuild/full_year_replay_truth_package_CWA_GHI_PV.parquet
Old invalid PV truth excluded,NTUST_Load_PV.csv::Solar_kWh is not used for final replay.,"replay_truth_usage_audit.csv in main, CCOR, robustness, and tail-aware ablation folders",MATCH,All final audit files mark CWA_GHI_PV_REBUILT and old invalid NTUST Solar_kWh false.
LOAD-QN excluded,LOAD-QN is not used in final mainline.,"scenario/replay audit fields; run_scheduling_pv_focus_da_mpc.py:286, run_tailaware_ablation_pvfocus_km_vs_tkm.py:275",MATCH,Final load is deterministic given profile; no probabilistic load forecast in mainline.
Random load error excluded,"Literature/random load error is appendix/diagnostic only, not final mainline.",PV-focused scripts and reports; tail-aware/robustness audit flags,MATCH,"Structured load bias is outer robustness, not random scenario mixing."
Old S1-S6 excluded from mainline,Old S1-S6 is diagnostic-only and not a final scenario input.,PV_FOCUSED_VALIDATION_REFRAMED_LOW_PV_FIX_REPORT.md; scenario audit flags,MATCH,Old S1-S6 all-hour OC coverage is not used as pass/fail criterion.
PV-focused scenario generation used,PV scenarios are sampled from calibrated PV/GHI probabilistic forecasts and combined with deterministic load.,exp_pv_focus_generate_pv_scenarios.py; exp_pv_focus_build_netload_scenarios.py; pv_focus_bridge_utils.py:207-300,MATCH,netload_s_kw = load_kw - pv_s_kw.
Low-PV-safe TKM K5 used for PROB mainline,PROB cases use low-PV-safe tail-aware K-medoids K=5.,exp_pv_focus_lowpv_reduction_fix.py; scenario_usage_audit.csv,MATCH,Scenario files: id_h24_pvfocus_base_tkm_lowpv_safe_K5_scenarios.parquet.
Cluster probability weights used,"Reduced scenario weights are cluster probabilities, not equal weights.",scenario_usage_audit.csv; PV_FOCUSED_VALIDATION_REFRAMED_LOW_PV_FIX_REPORT.md weight table,MATCH,Weight sums equal 1 per issue_time in final audits.
Optimization scenario files contain no truth columns,No realized/actual/truth columns are passed into optimization-facing scenario files.,scenario_usage_audit.csv; run_scheduling_pv_focus_da_mpc.py:227-243,MATCH,Truth only enters replay/KPI settlement.
Standard MPC uses base deterministic load,MPC_DET and MPC_PROB use the base deterministic load profile.,run_scheduling_pv_focus_da_mpc.py:154; load_profile_lookup('base'),MATCH,Structured profiles appear only in robustness folder.
CCOR-v2 uses shield m150,CCOR-v2 adds a first-step soft peak shield with 150 kW margin.,"run_scheduling_pv_focus_ccor_v2_full_year_m150.py:52; run_scheduling_pv_focus_ccor_v2_smoke.py:263,286",MATCH,Terminal reserve is disabled in final v2 shield-only run.
Structured load-bias robustness uses structured_low/high only,Load bias is an outer deterministic robustness setting.,run_final_four_load_bias_robustness_pvfocus.py:608; load_profile_usage_audit.csv,MATCH,No uniform or random error profiles used in final robustness batch.
All final cases solved optimally 8760/8760,No infeasible or fallback steps in final main and robustness cases.,"annual_cost_summary_realized_basis.csv in main, CCOR, robustness, tail-aware folders",MATCH,Gurobi status summary {'2': 8760}; infeasible_steps=0; fallback_steps=0.
